                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.21952,                0.20492,                0.92714,                0.99959,                      1,                  0.995,                 0.9875,                0.20512,                0.15847,                0.65705,              0.0005744,              0.0005744,              0.0005744
                     38,                0.23218,                0.20412,                 0.9374,                0.99956,                      1,                  0.995,                0.98421,                0.18466,                0.15311,                 0.6415,              0.0005348,              0.0005348,              0.0005348
                     39,                0.22267,                0.19603,                0.93223,                0.99957,                      1,                  0.995,                0.98518,                0.19144,                0.16578,                0.64884,              0.0004952,              0.0004952,              0.0004952
                     40,                0.21941,                0.19519,                0.92304,                0.99956,                      1,                  0.995,                0.98556,                0.17382,                0.17579,                0.63835,              0.0004556,              0.0004556,              0.0004556
                     41,                0.20107,                0.20226,                0.90548,                0.99952,                      1,                  0.995,                0.98395,                0.18762,                0.14979,                0.63645,               0.000416,               0.000416,               0.000416
                     42,                  0.195,                0.18292,                0.88714,                0.99443,                      1,                  0.995,                0.98838,                  0.187,                 0.1822,                0.63614,              0.0003764,              0.0003764,              0.0003764
                     43,                0.17653,                0.16497,                0.88031,                0.99953,                      1,                  0.995,                 0.9908,                0.16713,                0.15726,                0.62048,              0.0003368,              0.0003368,              0.0003368
                     44,                0.17928,                0.15813,                0.87297,                0.99946,                      1,                  0.995,                0.98673,                0.17007,                0.15579,                0.62716,              0.0002972,              0.0002972,              0.0002972
                     45,                0.17893,                 0.1547,                0.87808,                0.99946,                      1,                  0.995,                0.98888,                 0.1838,                 0.1469,                0.63696,              0.0002576,              0.0002576,              0.0002576
                     46,                0.17221,                0.15253,                0.88783,                0.99957,                      1,                  0.995,                0.98805,                 0.1798,                0.16826,                0.63675,               0.000218,               0.000218,               0.000218
                     47,                 0.1625,                0.14483,                0.87623,                0.99953,                      1,                  0.995,                0.98875,                 0.1527,                0.12773,                0.61973,              0.0001784,              0.0001784,              0.0001784
                     48,                0.15972,                0.13922,                0.86583,                0.99951,                      1,                  0.995,                0.98868,                 0.1536,                0.12689,                0.61768,              0.0001388,              0.0001388,              0.0001388
                     49,                0.15728,                0.13898,                0.88826,                0.99949,                      1,                  0.995,                0.98766,                0.14914,                0.13251,                0.61537,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.15022,                0.13129,                0.88478,                0.99953,                      1,                  0.995,                0.98868,                0.14678,                0.13079,                0.61174,               5.96e-05,               5.96e-05,               5.96e-05
